"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Henriks El och Montage AB",,,"Mästerby hage 219","Gotlands Tofta",,"SE","https://www.facebook.com/henrikselochmontage/?ref=page_internal","+46 73 979 36 57","Electrical installation service","Home builder",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Henriks%20El%20och%20Montage%20AB&query_place_id=ChIJORgF3fqh90YRvnLLr3qKmFs","Electrical installation service"
"Erikssons El, Ulf",,,"Lärbro ringvide 3426","Lärbro",,"SE",,"+46 70 549 84 17","Electrical installation service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Erikssons%20El%2C%20Ulf&query_place_id=ChIJT6aJyfj99kYRgug95d6Uc6Q","Electrical installation service"
"Spillings Rör AB","4.5","4","Lärbro rangvide 3409","Lärbro",,"SE","http://spillingsror.se/","+46 76 104 17 15","Utility contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Spillings%20R%C3%B6r%20AB&query_place_id=ChIJTTxKoof89kYRrn9CV2rY9qk","Utility contractor"
"Galynas Bygg & Fastighetsservice AB - Byggfirma Gotland",,,"Angelbosvägen 37","Lärbro",,"SE","http://www.galynas.se/","+46 70 053 54 66","Home builder","Lawn care service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Galynas%20Bygg%20%26%20Fastighetsservice%20AB%20-%20Byggfirma%20Gotland&query_place_id=ChIJ3W_EK80GxgURG7EozmYVdLU","Home builder"
"Emab El & Maskinteknik AB","4.3","3","Vinstigen 4","Slite",,"SE",,"+46 498 22 22 90","Mechanical engineer",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Emab%20El%20%26%20Maskinteknik%20AB&query_place_id=ChIJDxID56cC90YRqZ07K54LrX4","Mechanical engineer"
"Sjökvist Elinstallationer AB",,,"Stenkyrka Stenstugu 162","Tingstäde",,"SE","https://www.sjokvistel.se/","+46 73 626 19 05","Electrical installation service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sj%C3%B6kvist%20Elinstallationer%20AB&query_place_id=ChIJlcHxek1V9kYRWIrzuoJIJy0","Electrical installation service"
"Kurt Karlssons El i Fårösund AB","4","2","Skjutbanevägen 3","Fårösund",,"SE",,"+46 498 22 15 75","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kurt%20Karlssons%20El%20i%20F%C3%A5r%C3%B6sund%20AB&query_place_id=ChIJ_V_CkXrv9kYROnJ8KsMb6dU","Electrician"
"Bengt-Arnes Eltjänst AB",,,"SANDA SANDÄSKES 660","Klintehamn",,"SE","http://www.bael.se/","+46 498 24 21 94","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengt-Arnes%20Eltj%C3%A4nst%20AB&query_place_id=ChIJ9e_gxxyg90YRnohvYw0qpA4","Electrician"
"Tallbergs El & Bygg","5","1","Brandvägen 62","Gotlands Tofta",,"SE","http://tallbergsel.se/kontakt.html","+46 70 399 97 99","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tallbergs%20El%20%26%20Bygg&query_place_id=ChIJd8FlHMqj90YRcxnayBCwXTw","Electrician"
"Johnnys Elservice","5","6","Högklint Högklintsvägen 50","Visby",,"SE","http://johnnyselservice.se/","+46 70 760 62 57","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Johnnys%20Elservice&query_place_id=ChIJj2xNioml90YRQhdx86h08h0","Electrician"
"Anso El AB","5","1","SJONHEM BJÄRBY 337","Romakloster",,"SE",,"+46 70 868 44 11","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Anso%20El%20AB&query_place_id=ChIJC3FR-80O90YRcUtioWX35j0","Electrician"
"Gotland Smidefix AB - Stallinredning och Smidesverkstad",,,"Hörsne prästgården 111","Romakloster",,"SE",,"+46 76 711 17 63","Blacksmith","Equestrian store","Farm equipment repair service","Farm equipment supplier","Stable","Welder",,,,,"https://www.google.com/maps/search/?api=1&query=Gotland%20Smidefix%20AB%20-%20Stallinredning%20och%20Smidesverkstad&query_place_id=ChIJL3cfv8cF90YRmfOo3gTbwj0","Blacksmith"
"Solenergi Gotland AB","4","1","Färjeleden 7","Visby",,"SE","https://solenergigotland.se/","+46 73 615 74 45","Construction company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Solenergi%20Gotland%20AB&query_place_id=ChIJJS31j6qv90YRy6XGUYLLEpk","Construction company"
"F.s Rör & VVS Service AB - Rörmokare Visby",,,"Steffens väg 5","Visby",,"SE","https://xn--fsrr-7qa.se/","+46 73 312 48 44","Plumber",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=F.s%20R%C3%B6r%20%26%20VVS%20Service%20AB%20-%20R%C3%B6rmokare%20Visby&query_place_id=ChIJq0kH1YGp90YRkhBYRjA2xrU","Plumber"
"Raukard's Alltjänst",,,"VÄTE ISOME 183","Klintehamn",,"SE","http://www.gfservice.se/","+46 70 730 58 03","Electrician","Carpenter","Computer support and services","Deck builder","Construction company","Handyman/Handywoman/Handyperson","Lawn care service","Painter","Party equipment rental service","Woodworker","https://www.google.com/maps/search/?api=1&query=Raukard's%20Alltj%C3%A4nst&query_place_id=ChIJnQKRhPcK90YRJC62SEX7YWU","Electrician"
"Nordgrens Snickare",,,"Dalhem Björkhage 11","Dalhem",,"SE","http://nordgrenssnickare.se/","+46 72 341 36 49","Construction company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nordgrens%20Snickare&query_place_id=ChIJ41RxxfwJ90YRADyhVMk8QhI","Construction company"
"Myrbäcks Bilvård AB","5","5","väte kvie 205","Klintehamn",,"SE","http://www.xn--myrbcksbilvrd-efbw.se/","+46 76 241 03 27","Car detailing service","Truck repair shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Myrb%C3%A4cks%20Bilv%C3%A5rd%20AB&query_place_id=ChIJB71ncK6h90YRp-c03zBGVSg","Car detailing service"
"Data & Tele Kommunikation Gotland AB","5","2","Söderväg 5","Visby",,"SE","http://www.dotkom.se/","+46 498 29 16 00","Telecommunications service provider",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Data%20%26%20Tele%20Kommunikation%20Gotland%20AB&query_place_id=ChIJPSq0KCuv90YRWry1g6BI4Pg","Telecommunications service provider"
