"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"PMC El i Uppsala AB","5","3","Stångjärnsgatan 8","Uppsala",,"SE","https://pmcel.se/kontakt/uppsala/","+46 18 25 00 70","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PMC%20El%20i%20Uppsala%20AB&query_place_id=ChIJVekNRlnJX0YRqKZXx3pSpDw","Electrician"
"AB Evelko","5","7","Stålgatan 19","Uppsala",,"SE","http://www.abevelko.se/","+46 18 10 14 00","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AB%20Evelko&query_place_id=ChIJSdqetbTOX0YRL62YaVPaBq4","Electrician"
"Bravida","3.9","34","Verkstadsgatan 11","Uppsala",,"SE","https://www.bravida.se/kontor/sverige/uppsala/","+46 18 65 00 00","Electrician","Electrical engineer","Heating equipment supplier","HVAC contractor","Plumber","Security system supplier","Telecommunications equipment supplier","Utility contractor",,,"https://www.google.com/maps/search/?api=1&query=Bravida&query_place_id=ChIJn4AKHk_JX0YRK4g2XM6M2No","Electrician"
"VMV Service i Uppsala AB","4.3","3","Kungsängsvägen 17A","Uppsala",,"SE",,"+46 70 745 41 49","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=VMV%20Service%20i%20Uppsala%20AB&query_place_id=ChIJj8unv0HFX0YRP6IyLpFDFxE","Electrician"
"Lundqvist El","4.4","22","Libro ringväg 19","Uppsala",,"SE","http://www.lundqvistel.se/?utm_source=google&utm_medium=maps&utm_term=Libro+Ringv%C3%A4g+19&utm_campaign=Uppsala","+46 18 10 77 20","Electrician","Electrical engineer",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lundqvist%20El&query_place_id=ChIJN6M7b4bMX0YRzd3t6KfYdAw","Electrician"
"City El & Tele i Uppsala AB","4.9","7","Libro ringväg 5","Uppsala",,"SE","https://cityeltele.se/?utm_source=google&utm_medium=organic&utm_campaign=gmb","+46 70 573 37 80","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=City%20El%20%26%20Tele%20i%20Uppsala%20AB&query_place_id=ChIJ1fiRl3LMX0YR7BmYHnDw8rk","Electrician"
"Elak AB","3.9","9","Libro ringväg 32","Uppsala",,"SE","https://www.elakab.se/","+46 18 265 00 00","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Elak%20AB&query_place_id=ChIJact9NHjMX0YRMIHWwenaPYA","Electrician"
"P & B:s Elektriska AB","5","2","Libro ringväg 13","Uppsala",,"SE","https://pobel.se/","+46 18 470 20 00","Electrical installation service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=P%20%26%20B%3As%20Elektriska%20AB&query_place_id=ChIJP1UWx0rJX0YRU6w3NNpaEUA","Electrical installation service"
"Electric Light Uppsala AB","4","5","Libro ringväg 8","Uppsala",,"SE","http://www.el-ljus.se/?utm_source=google&utm_medium=maps","+46 18 21 51 00","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Electric%20Light%20Uppsala%20AB&query_place_id=ChIJMadMgobMX0YRTlIY6FBZAig","Electrician"
"City Car Charge",,,"Libro ringväg 5","Uppsala",,"SE","https://citycarcharge.se/?utm_source=google&utm_medium=organic&utm_campaign=gmb","+46 70 324 27 43","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=City%20Car%20Charge&query_place_id=ChIJ130aO4vNX0YRot0v0Z281cY","Electrician"
"JMAB Elinstallationer AB","4.1","15","Husbyborgsvägen 9","Uppsala",,"SE","http://www.jmab.se/","+46 18 56 70 40","Electrician","Appliance repair service","Kitchen supply store",,,,,,,,"https://www.google.com/maps/search/?api=1&query=JMAB%20Elinstallationer%20AB&query_place_id=ChIJGRbsS3_MX0YR1lQjjvOK0R0","Electrician"
"William G AB",,,"Edsbrogatan 1G","Uppsala",,"SE","http://www.williamg.se/","+46 70 409 93 01","Electrician","Consultant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=William%20G%20AB&query_place_id=ChIJ5aIa3KXOX0YR-5jVR8ezMwI","Electrician"
"Uppsala Elbolag",,,"Edsbrogatan 1A","Uppsala",,"SE","http://uppsalaelbolag.se/","+46 18 410 88 98","Electrical installation service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Uppsala%20Elbolag&query_place_id=ChIJ3cOYd1nLX0YRoPHp6eq30jc","Electrical installation service"
"LetMeRepair Nordic AB","3.2","187","Hållnäsgatan 15","Uppsala",,"SE","https://www.letmerepair.se/","+46 18 843 99 00","Repair service","Corporate office",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=LetMeRepair%20Nordic%20AB&query_place_id=ChIJ36oDqIfMX0YRowJiOHl0DOQ","Repair service"
"Kraft & Belysningsteknik i Uppsala AB","5","1","Kadettgatan 5","Uppsala",,"SE","http://www.kraftochbelysningsteknik.se/","+46 70 524 75 95","Electric utility company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kraft%20%26%20Belysningsteknik%20i%20Uppsala%20AB&query_place_id=ChIJLcWjWmTMX0YRU71qBSulQaw","Electric utility company"
"Delta Elinstallation","5","1","Viktor Rydbergsgatan 22","Uppsala",,"SE","https://deltaelinstallation.se/","+46 76 588 87 64","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Delta%20Elinstallation&query_place_id=ChIJxyhxw7S7X0YRmyBYg-ckInE","Electrician"
"En Hel Del El AB","5","2","Vaksala Fridhem 46C","Uppsala",,"SE","https://www.enheldelel.se/","+46 73 518 55 00","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=En%20Hel%20Del%20El%20AB&query_place_id=ChIJNVayCpvJX0YRl_cfz2_-BX4","Electrician"
"El & Säkerhet i Uppsala AB",,,"Stenkilsgatan 12","Uppsala",,"SE","https://www.elsakerhet.com/","+46 70 525 26 25","Electrical installation service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=El%20%26%20S%C3%A4kerhet%20i%20Uppsala%20AB&query_place_id=ChIJMZ-Po3LMX0YREi8JxcOXYfE","Electrical installation service"
"Svartbäckens Byggservice AB","3","6","Vikingagatan 23","Uppsala",,"SE","https://www.svartbackensbygg.se/","+46 70 725 00 95","Contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Svartb%C3%A4ckens%20Byggservice%20AB&query_place_id=ChIJKwsRlwzMX0YRg_IzKOAH9d8","Contractor"
"Electrical & Data Installer Sweden AB","4.3","6","Apelgatan 12","Uppsala",,"SE","http://www.eodi.se/","+46 18 444 00 60","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Electrical%20%26%20Data%20Installer%20Sweden%20AB&query_place_id=ChIJM75PKKrOX0YRNJFq0dXdMC0","Electrician"
"All-El i Uppsala","3","2","Palmbladsgatan 4a","Uppsala",,"SE","https://www.alleluppsala.se/","+46 76 724 55 60","Electrician","Electric utility company","Electrical engineer","Electronics company","Solar energy equipment supplier","Solar photovoltaic power plant",,,,,"https://www.google.com/maps/search/?api=1&query=All-El%20i%20Uppsala&query_place_id=ChIJp9PKfDbJX0YRV3RhJImqjOs","Electrician"
"Kraft & Belysningsteknik i Uppsala","3.5","2","Bergsbrunnagatan 18","Uppsala",,"SE","http://www.kbtab.se/","+46 70 524 75 95","Electrician","Electrical installation service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kraft%20%26%20Belysningsteknik%20i%20Uppsala&query_place_id=ChIJeyOcWmTMX0YRUSmGXIRlGI8","Electrician"
"Uppsala Fasadmålning & Byta Träpanel Tilläggsisolering","5","1","Östra Ågatan","Uppsala",,"SE","http://uppsala-byggare.se/panelbyten-byta-trapanel-i-uppsala",,"Siding contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Uppsala%20Fasadm%C3%A5lning%20%26%20Byta%20Tr%C3%A4panel%20Till%C3%A4ggsisolering&query_place_id=ChIJq6oulfbLX0YRj0OuWWO0rd0","Siding contractor"
"Grillska Gymnasiet Uppsala",,,"Ekeby Bruk 10e","Uppsala",,"SE","http://www.grillska.se/Uppsala","+46 18 470 23 40","High school","Non-profit organization","School",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Grillska%20Gymnasiet%20Uppsala&query_place_id=ChIJVVVVWJTLX0YR-WeEnCCpt6o","High school"
"Galore i Uppsala AB","4.6","5","Gnistagatan 15","Uppsala",,"SE","https://www.galore.se/","+46 20 022 50 80","Electrical installation service","Electrician",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Galore%20i%20Uppsala%20AB&query_place_id=ChIJLYRyjFLJX0YR8FYHL6DCw-U","Electrical installation service"
"Kumlins Elektriska",,,"Stålgatan 19","Uppsala",,"SE","http://www.kumlinsel.se/kontakt/","+46 73 253 50 02","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kumlins%20Elektriska&query_place_id=ChIJVVWFtbTOX0YR1DHFBmeMooY","Electrician"
"Granitor Electro","1","1","Gnistagatan 15","Uppsala",,"SE","https://www.granitor.se/electro/kontakt/granitor-electro-i-uppsala?utm_source=google&utm_medium=businessProfile","+46 10 470 75 00","Electrical installation service","Electrician",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Granitor%20Electro&query_place_id=ChIJ_____07JX0YRPA4CuqjLTew","Electrical installation service"
"Elinstallation Uppsala",,,"Sylveniusgatan 5d","Uppsala",,"SE","https://elinstallationuppsala.se/","+46 18 800 86 78","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Elinstallation%20Uppsala&query_place_id=ChIJXa9lI1DJX0YRDpGI5Vl8W6Y","Electrician"
"GK","3","2","Edvard Berlingsgatan 5","Uppsala",,"SE","https://www.gk.se/","+46 18 27 88 50","Electrician","Automation company","Building materials store","HVAC contractor","Heating contractor",,,,,,"https://www.google.com/maps/search/?api=1&query=GK&query_place_id=ChIJTVOC40rJX0YROidoxJTc9jw","Electrician"
"Uppsala Takrenovering & Takläggning","5","1","Kungsgatan","Uppsala",,"SE","http://uppsala-byggare.se/taklaggning-uppsala",,"Roofing contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Uppsala%20Takrenovering%20%26%20Takl%C3%A4ggning&query_place_id=ChIJn2tDlfnLX0YRQ6CEwj6Tf38","Roofing contractor"
"PQR Consult AB","5","4","Klostergatan 13","Uppsala",,"SE","http://www.pqr.se/","+46 18 65 70 80","Engineering consultant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PQR%20Consult%20AB&query_place_id=ChIJl4p2q_fLX0YRlxi_sZI94Dg","Engineering consultant"
"Uppsala Tilläggsisolering & Fasadbyte",,,"S:t Persgatan","Uppsala",,"SE","http://uppsala-byggare.se/tillaggsisolering-vind-tak-vagg-uppsala",,"Insulation contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Uppsala%20Till%C3%A4ggsisolering%20%26%20Fasadbyte&query_place_id=ChIJjeMG_wfMX0YRr75ghrxHBxQ","Insulation contractor"
"Jens Hellund El Ab",,,"Kungsängsgatan 57J","Uppsala",,"SE",,,"Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jens%20Hellund%20El%20Ab&query_place_id=ChIJqUWLQf3LX0YRaixGq1idLIY","Electrician"
"Assemblin","4.5","10","Björkgatan 59","Uppsala",,"SE","https://www.assemblin.se/","+46 10 472 60 00","Electrician","Air conditioning contractor","Electrical engineer","Electrical installation service","General contractor","Heating contractor","HVAC contractor","Plumber","Security system installation service","Telecommunications contractor","https://www.google.com/maps/search/?api=1&query=Assemblin&query_place_id=ChIJU-qZp1XJX0YRSZO3iq4RCZM","Electrician"
"Solelsgruppen Sverige AB","5","2","Villavägen 37","Uppsala",,"SE","https://solelsgruppen.se/","+46 73 561 11 35","Solar energy company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Solelsgruppen%20Sverige%20AB&query_place_id=ChIJC6iO8xjLX0YRUU7VI3iGbqQ","Solar energy company"
"Elon Bo Wahlgren","4.2","189","Takpannegatan 2","Uppsala",,"SE","https://www.elon.se/butiker/Uppsala/elon-bo-wahlgren/","+46 18 20 10 00","Kitchen supply store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Elon%20Bo%20Wahlgren&query_place_id=ChIJ81NzIwbMX0YRm7il7vR5AQg","Kitchen supply store"
"Bilel Specialisten I Uppsala Ab","5","2","Danmarksgatan 55","Uppsala",,"SE","https://swemaps.org/details/bilel-specialisten-i-uppsala-ab-ChIJn9D","+46 18 12 18 35","Car repair and maintenance service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bilel%20Specialisten%20I%20Uppsala%20Ab&query_place_id=ChIJn9DZBVDJX0YRftxxNpR_VvQ","Car repair and maintenance service"
